year,site,sex,winglength,temp
2013,7,f,24.32,-0.5089
2013,7,f,23.43,-0.5089
2013,7,m,24.33,-0.5089
2013,7,m,23.74,-0.5089
2013,7,m,22.28,-0.5089
2013,7,m,22.85,-0.5089
2013,7,m,20.13,-0.5089
2013,7,m,22.38,-0.5089
2013,7,m,22.55,-0.5089
2013,7,m,22.47,-0.5089
2013,7,m,21.14,-0.5089
2013,7,m,22.77,-0.5089
2013,7,m,23.19,-0.5089
2013,7,m,23.57,-0.5089
2013,7,m,24.35,-0.5089
